"Step","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/E","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/E__MIN","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/E__MAX","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/E","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MIN","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MAX","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/E","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MIN","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MAX","Group: 10_09_continue0909 - Training/E","Group: 10_09_continue0909 - Training/E__MIN","Group: 10_09_continue0909 - Training/E__MAX"
"55","-1.325642466545105","-1.325642466545105","-1.325642466545105","-1.3249523639678955","-1.3249523639678955","-1.3249523639678955","-1.3160966634750366","-1.3160966634750366","-1.3160966634750366","-1.304797649383545","-1.304797649383545","-1.304797649383545"
"56","-1.825169324874878","-1.825169324874878","-1.825169324874878","-1.2543439865112305","-1.2543439865112305","-1.2543439865112305","-0.9368541240692139","-0.9368541240692139","-0.9368541240692139","-0.7868044376373291","-0.7868044376373291","-0.7868044376373291"
"57","-1.4292454719543457","-1.4292454719543457","-1.4292454719543457","-1.9143112897872925","-1.9143112897872925","-1.9143112897872925","-0.7585526704788208","-0.7585526704788208","-0.7585526704788208","-1.1732243299484253","-1.1732243299484253","-1.1732243299484253"
"58","-1.1036088466644287","-1.1036088466644287","-1.1036088466644287","-1.7892335653305054","-1.7892335653305054","-1.7892335653305054","-1.229154348373413","-1.229154348373413","-1.229154348373413","-1.2388132810592651","-1.2388132810592651","-1.2388132810592651"
"59","-1.2480366230010986","-1.2480366230010986","-1.2480366230010986","-2.0736024379730225","-2.0736024379730225","-2.0736024379730225","-1.0354092121124268","-1.0354092121124268","-1.0354092121124268","-1.3469045162200928","-1.3469045162200928","-1.3469045162200928"
"60","-1.1204107999801636","-1.1204107999801636","-1.1204107999801636","-1.6768847703933716","-1.6768847703933716","-1.6768847703933716","-1.1536412239074707","-1.1536412239074707","-1.1536412239074707","-1.0478721857070923","-1.0478721857070923","-1.0478721857070923"
"61","-1.2280813455581665","-1.2280813455581665","-1.2280813455581665","-1.474609613418579","-1.474609613418579","-1.474609613418579","-0.7482744455337524","-0.7482744455337524","-0.7482744455337524","-1.030069351196289","-1.030069351196289","-1.030069351196289"
"62","-0.963555097579956","-0.963555097579956","-0.963555097579956","-1.8175731897354126","-1.8175731897354126","-1.8175731897354126","-1.0037360191345215","-1.0037360191345215","-1.0037360191345215","-1.3754440546035767","-1.3754440546035767","-1.3754440546035767"
"63","-1.3811745643615723","-1.3811745643615723","-1.3811745643615723","-1.9003396034240723","-1.9003396034240723","-1.9003396034240723","-0.8560391664505005","-0.8560391664505005","-0.8560391664505005","-1.4227015972137451","-1.4227015972137451","-1.4227015972137451"
"64","-1.5362621545791626","-1.5362621545791626","-1.5362621545791626","-1.8090369701385498","-1.8090369701385498","-1.8090369701385498","-0.9379417896270752","-0.9379417896270752","-0.9379417896270752","-1.5207425355911255","-1.5207425355911255","-1.5207425355911255"
"65","-1.287727952003479","-1.287727952003479","-1.287727952003479","-1.493532657623291","-1.493532657623291","-1.493532657623291","-1.1930087804794312","-1.1930087804794312","-1.1930087804794312","-0.9051958918571472","-0.9051958918571472","-0.9051958918571472"
"66","-1.1797435283660889","-1.1797435283660889","-1.1797435283660889","-1.8620259761810303","-1.8620259761810303","-1.8620259761810303","-0.7931196093559265","-0.7931196093559265","-0.7931196093559265","-1.1031014919281006","-1.1031014919281006","-1.1031014919281006"
"67","-1.3449238538742065","-1.3449238538742065","-1.3449238538742065","-1.6797847747802734","-1.6797847747802734","-1.6797847747802734","-0.9064124822616577","-0.9064124822616577","-0.9064124822616577","-0.9281436800956726","-0.9281436800956726","-0.9281436800956726"
"68","-0.39084869623184204","-0.39084869623184204","-0.39084869623184204","-1.7249327898025513","-1.7249327898025513","-1.7249327898025513","-1.4171841144561768","-1.4171841144561768","-1.4171841144561768","-1.354341745376587","-1.354341745376587","-1.354341745376587"
"69","-1.309406042098999","-1.309406042098999","-1.309406042098999","-1.7774066925048828","-1.7774066925048828","-1.7774066925048828","-0.4283173680305481","-0.4283173680305481","-0.4283173680305481","-1.2015794515609741","-1.2015794515609741","-1.2015794515609741"
"70","-1.2883628606796265","-1.2883628606796265","-1.2883628606796265","-2.1961512565612793","-2.1961512565612793","-2.1961512565612793","-0.7668548822402954","-0.7668548822402954","-0.7668548822402954","-1.013796091079712","-1.013796091079712","-1.013796091079712"
"71","-1.1819103956222534","-1.1819103956222534","-1.1819103956222534","-1.5522522926330566","-1.5522522926330566","-1.5522522926330566","-1.0302798748016357","-1.0302798748016357","-1.0302798748016357","-0.9879152178764343","-0.9879152178764343","-0.9879152178764343"
"72","-1.3119134902954102","-1.3119134902954102","-1.3119134902954102","-2.233475685119629","-2.233475685119629","-2.233475685119629","-1.4437531232833862","-1.4437531232833862","-1.4437531232833862","-1.1544853448867798","-1.1544853448867798","-1.1544853448867798"
"73","-1.7378019094467163","-1.7378019094467163","-1.7378019094467163","-1.3684228658676147","-1.3684228658676147","-1.3684228658676147","-0.9618273377418518","-0.9618273377418518","-0.9618273377418518","-1.3977206945419312","-1.3977206945419312","-1.3977206945419312"
"74","-1.2492058277130127","-1.2492058277130127","-1.2492058277130127","-1.9483556747436523","-1.9483556747436523","-1.9483556747436523","-0.9853249192237854","-0.9853249192237854","-0.9853249192237854","-1.045547366142273","-1.045547366142273","-1.045547366142273"
"75","-1.097883939743042","-1.097883939743042","-1.097883939743042","-2.2534852027893066","-2.2534852027893066","-2.2534852027893066","-1.2521724700927734","-1.2521724700927734","-1.2521724700927734","-1.1655292510986328","-1.1655292510986328","-1.1655292510986328"
"76","-1.481053352355957","-1.481053352355957","-1.481053352355957","-2.1804869174957275","-2.1804869174957275","-2.1804869174957275","-1.5518056154251099","-1.5518056154251099","-1.5518056154251099","-1.3600399494171143","-1.3600399494171143","-1.3600399494171143"
"77","-1.7791484594345093","-1.7791484594345093","-1.7791484594345093","-1.4681669473648071","-1.4681669473648071","-1.4681669473648071","-0.9213460683822632","-0.9213460683822632","-0.9213460683822632","-1.268459439277649","-1.268459439277649","-1.268459439277649"
"78","-1.3625800609588623","-1.3625800609588623","-1.3625800609588623","-1.7349501848220825","-1.7349501848220825","-1.7349501848220825","-0.805854320526123","-0.805854320526123","-0.805854320526123","-1.4074487686157227","-1.4074487686157227","-1.4074487686157227"
"79","-1.539576768875122","-1.539576768875122","-1.539576768875122","-1.6787066459655762","-1.6787066459655762","-1.6787066459655762","-0.8769981265068054","-0.8769981265068054","-0.8769981265068054","-1.3465492725372314","-1.3465492725372314","-1.3465492725372314"
"80","-1.3831180334091187","-1.3831180334091187","-1.3831180334091187","-1.8462156057357788","-1.8462156057357788","-1.8462156057357788","-1.1063615083694458","-1.1063615083694458","-1.1063615083694458","-1.2062853574752808","-1.2062853574752808","-1.2062853574752808"
"81","-0.9856005907058716","-0.9856005907058716","-0.9856005907058716","-1.6529009342193604","-1.6529009342193604","-1.6529009342193604","-1.080674171447754","-1.080674171447754","-1.080674171447754","-1.3156147003173828","-1.3156147003173828","-1.3156147003173828"
"82","-1.2231669425964355","-1.2231669425964355","-1.2231669425964355","-2.2794811725616455","-2.2794811725616455","-2.2794811725616455","-1.3423237800598145","-1.3423237800598145","-1.3423237800598145","-1.4351712465286255","-1.4351712465286255","-1.4351712465286255"
"83","-1.3938487768173218","-1.3938487768173218","-1.3938487768173218","-1.9216214418411255","-1.9216214418411255","-1.9216214418411255","-1.466173768043518","-1.466173768043518","-1.466173768043518","-1.2749354839324951","-1.2749354839324951","-1.2749354839324951"
"84","-1.0012738704681396","-1.0012738704681396","-1.0012738704681396","-2.058903932571411","-2.058903932571411","-2.058903932571411","-1.270108699798584","-1.270108699798584","-1.270108699798584","-1.1424174308776855","-1.1424174308776855","-1.1424174308776855"
"85","-1.8574132919311523","-1.8574132919311523","-1.8574132919311523","-1.805068016052246","-1.805068016052246","-1.805068016052246","-1.0148663520812988","-1.0148663520812988","-1.0148663520812988","-1.5849263668060303","-1.5849263668060303","-1.5849263668060303"
"86","-1.496009111404419","-1.496009111404419","-1.496009111404419","-1.5968613624572754","-1.5968613624572754","-1.5968613624572754","-1.2185394763946533","-1.2185394763946533","-1.2185394763946533","-1.4024293422698975","-1.4024293422698975","-1.4024293422698975"
"87","-1.1507798433303833","-1.1507798433303833","-1.1507798433303833","-1.5962399244308472","-1.5962399244308472","-1.5962399244308472","-1.2954939603805542","-1.2954939603805542","-1.2954939603805542","-0.9219157099723816","-0.9219157099723816","-0.9219157099723816"
"88","-1.4012832641601562","-1.4012832641601562","-1.4012832641601562","-1.9817301034927368","-1.9817301034927368","-1.9817301034927368","-1.1514216661453247","-1.1514216661453247","-1.1514216661453247","-1.1806092262268066","-1.1806092262268066","-1.1806092262268066"
"89","-1.4348896741867065","-1.4348896741867065","-1.4348896741867065","-2.153604507446289","-2.153604507446289","-2.153604507446289","-1.133256196975708","-1.133256196975708","-1.133256196975708","-1.616716742515564","-1.616716742515564","-1.616716742515564"
"90","-1.8845266103744507","-1.8845266103744507","-1.8845266103744507","-1.4217007160186768","-1.4217007160186768","-1.4217007160186768","-0.9919109344482422","-0.9919109344482422","-0.9919109344482422","-1.623335599899292","-1.623335599899292","-1.623335599899292"
"91","-1.5310009717941284","-1.5310009717941284","-1.5310009717941284","-1.915255069732666","-1.915255069732666","-1.915255069732666","-1.4276618957519531","-1.4276618957519531","-1.4276618957519531","-1.119829535484314","-1.119829535484314","-1.119829535484314"
"92","-1.026479721069336","-1.026479721069336","-1.026479721069336","-1.9884623289108276","-1.9884623289108276","-1.9884623289108276","-1.2779306173324585","-1.2779306173324585","-1.2779306173324585","-1.5866705179214478","-1.5866705179214478","-1.5866705179214478"
